"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
claudication_pain_lower_or_upper_left,clinical_outcome_and_complications,,radio,"Claudication Pain Involving the Lower Limbs or Left Upper Limb","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_claudication_pain,clinical_outcome_and_complications,,text,"Date of Claudication Pain Diagnosis",,,datetime_dmy,,,,"[claudication_pain_lower_or_upper_left]<>""0""",,,,,,
stent_fracture,clinical_outcome_and_complications,,radio,"Stent Fracture","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_stent_fracture,clinical_outcome_and_complications,,text,"Date of Stent Fracture",,,datetime_dmy,,,,"[stent_fracture]<>""0""",,,,,,
surgery_related_complications,clinical_outcome_and_complications,,radio,"Surgery Related Complications","0, No | 1, Yes - Spinal cord complications | 2, Yes - Other operative complications | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_surgery_complications,clinical_outcome_and_complications,,text,"Date of Surgery Related Complications",,,datetime_dmy,,,,"[surgery_related_complications]<>""0""",,,,,,
death,clinical_outcome_and_complications,,radio,Death,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_death,clinical_outcome_and_complications,,text,"Date of Death",,,datetime_dmy,,,,"[death]<>""0""",,,,,,
coronary_air_embolization,clinical_outcome_and_complications,"Post Angioplasty Outcomes",radio,"Coronary Air Embolization","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_coronary_air_embolization,clinical_outcome_and_complications,,text,"Date of Coronary  Air Embolization",,,datetime_dmy,,,,"[coronary_air_embolization]<>""0""",,,,,,
stent_embolization,clinical_outcome_and_complications,,radio,"Stent Embolization","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_stent_embolization,clinical_outcome_and_complications,,text,"Date of Stent Embolization",,,datetime_dmy,,,,"[stent_embolization]<>""0""",,,,,,
emergent_surgery,clinical_outcome_and_complications,,radio,"Emergent Surgery","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_emergent_surgery,clinical_outcome_and_complications,,text,"Date of Emergent Surgery",,,datetime_dmy,,,,"[emergent_surgery]<>""0""",,,,,,
periprocedural_stroke,clinical_outcome_and_complications,,radio,"Periprocedural Stroke","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_periprocedural_stroke,clinical_outcome_and_complications,,text,"Date of Periprocedural Stroke",,,datetime_dmy,,,,"[periprocedural_stroke]<>""0""",,,,,,
aortic_dissection_post_angio,clinical_outcome_and_complications,,radio,"Aortic Dissection Post Angioplasty","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_aortic_dissection_post_angio,clinical_outcome_and_complications,,text,"Date of Post Angioplasty Aortic Dissection",,,datetime_dmy,,,,"[aortic_dissection_post_angio]<>""0""",,,,,,
arrhythmia_requiring_cardioversion,clinical_outcome_and_complications,,radio,"Arrhythmia Requiring Cardioversion","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_cardioversion,clinical_outcome_and_complications,,text,"Date of Cardioversion",,,datetime_dmy,,,,"[arrhythmia_requiring_cardioversion]<>""0""",,,,,,
need_for_blood_transfusion,clinical_outcome_and_complications,"Post Angioplasty Vascular Complications",radio,"Need for Blood Transfusion","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_blood_transfusion,clinical_outcome_and_complications,,text,"Date of Blood Transfusion",,,datetime_dmy,,,,"[need_for_blood_transfusion]<>""0""",,,,,,
number_units_transfused,clinical_outcome_and_complications,,text,"Number of Units Transfused",,,integer,,,,"[need_for_blood_transfusion]<>""0""",,,,,,
need_for_surgical_vascular_site_repair,clinical_outcome_and_complications,,radio,"Need for Surgical Repair of Vascular Access Site","0, No | 1, Yes | 9, Unknown",,,,,,,,,,,," @DEFAULT='0'"
date_of_surgical_repair_vascular_access,clinical_outcome_and_complications,,text,"Date of Surgical Repair of Vascular Access Site",,,datetime_dmy,,,,"[need_for_surgical_vascular_site_repair]<>""0""",,,,,,
last_date_seen_in_pediatric_clinic,transition_of_care,,text,"Last Date Seen in Pediatric Clinic",,,datetime_dmy,,,,,,,,,,
first_date_seen_in_adult_clinic,transition_of_care,,text,"First Date Seen in Adult Clinic",,,datetime_dmy,,,,,,,,,,
last_date_seen_in_adult_clinic,transition_of_care,,text,"Last Date Seen in Adult Clinic",,,datetime_dmy,,,,,,,,,,
transferred_centres,transition_of_care,,radio,"Patient Transferred Centres ","0, No | 1, Yes",,,,,,,,,,,," @DEFAULT='0'"
loss_to_follow_up,transition_of_care,,radio,"Loss to Follow up","0, No | 1, Yes","Yes = the patient has been lost to follow up at some point. I.e if the chart says ""patient was lost for a few years then came back"" this would still be ""yes""",,,,,,,,,,," @DEFAULT='0'"
coexistent_lesions,coexistent_lesions,,checkbox,"Coexistent Lesions","0, None | 1, Atrial septal defect | 2, Ventricular septal defect| 3, Hypoplastic left heart syndrome | 4, Mitral valve stenosis/regurg | 5, Patent ductus arteriosus | 6, Transposition of the great arteries | 7, Aneurysm of ascending aorta | 8, Interrupted aortic arch |  9, Other",,,,,,,,,,,," @DEFAULT='0'"
